id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2947299,ST5,2018-04-04 21:00:00,3.0,19.0,17.6,,,
2947300,RB7,2018-04-04 21:00:00,6.0,4.4,22.0,,,
2947301,TD5,2018-04-04 21:00:00,5.4,,,,,
2947303,CD1,2018-04-04 22:00:00,6.7,11.6,66.3,,,
2947304,BL0,2018-04-04 22:00:00,1.5,5.7,54.5,,,
2947305,GR4,2018-04-04 22:00:00,1.9,,13.2,,,
2947306,MY7,2018-04-04 22:00:00,4.5,6.8,,,,
2947307,HV1,2018-04-04 22:00:00,3.0,6.9,19.8,,,
2947308,GN3,2018-04-04 22:00:00,3.9,4.8,40.0,,,
2947309,GR9,2018-04-04 22:00:00,3.0,7.7,29.3,,,
2947310,LW2,2018-04-04 22:00:00,7.6,12.4,51.6,,,
2947311,GN0,2018-04-04 22:00:00,7.3,5.3,56.8,,,
2947312,KF1,2018-04-04 22:00:00,2.8,5.5,,,,
2947313,CD9,2018-04-04 22:00:00,5.9,6.9,50.7,,,
2947314,CT3,2018-04-04 22:00:00,5.0,12.6,45.5,,,
2947315,CT2,2018-04-04 22:00:00,7.0,,,,,
2947316,BX9,2018-04-04 22:00:00,4.0,,,,,
2947317,BX1,2018-04-04 22:00:00,,4.2,19.6,,,
2947318,TH4,2018-04-04 22:00:00,6.9,24.2,76.8,,,
2947319,ST5,2018-04-04 22:00:00,4.0,18.0,36.5,,,
2947320,RB7,2018-04-04 22:00:00,8.0,3.8,37.6,,,
2947321,TD5,2018-04-04 22:00:00,6.4,,,,,
2947359,CD1,2018-04-04 23:00:00,4.7,9.6,65.8,,,
2947360,BL0,2018-04-04 23:00:00,3.6,7.8,52.6,,,
2947361,GR4,2018-04-04 23:00:00,1.1,7.3,14.7,,,
2947362,MY7,2018-04-04 23:00:00,4.1,5.3,,,,
2947363,HV1,2018-04-04 23:00:00,0.9,3.3,14.6,,,
2947364,GN3,2018-04-04 23:00:00,5.7,10.7,34.2,,,
2947365,GR9,2018-04-04 23:00:00,1.2,7.2,29.7,,,
2947366,LW2,2018-04-04 23:00:00,6.7,10.9,40.4,,,
2947367,GN0,2018-04-04 23:00:00,5.5,8.1,53.9,,,
2947368,KF1,2018-04-04 23:00:00,2.9,11.0,,,,
2947369,CD9,2018-04-04 23:00:00,7.3,9.6,45.4,,,
2947370,CT3,2018-04-04 23:00:00,7.0,20.4,41.3,,,
2947371,CT2,2018-04-04 23:00:00,10.0,,,,,
2947372,BX9,2018-04-04 23:00:00,4.3,,,,,
2947373,BX1,2018-04-04 23:00:00,,5.8,19.1,,,
2947374,TH4,2018-04-04 23:00:00,8.0,23.7,65.2,,,
2947375,ST5,2018-04-04 23:00:00,3.0,14.0,25.1,,,
2947376,RB7,2018-04-04 23:00:00,10.0,10.2,31.6,,,
2947377,TD5,2018-04-04 23:00:00,2.9,,,,,
2947415,CD1,2018-04-05 00:00:00,5.2,11.6,59.6,,,
2947416,BL0,2018-04-05 00:00:00,1.6,8.5,49.7,,,
2947417,GR4,2018-04-05 00:00:00,0.6,6.7,14.7,,,
2947418,MY7,2018-04-05 00:00:00,2.6,6.5,,,,
2947419,HV1,2018-04-05 00:00:00,4.1,9.1,12.2,,,
2947420,GN3,2018-04-05 00:00:00,2.5,7.7,33.7,,,
2947421,GR9,2018-04-05 00:00:00,4.7,6.0,22.8,,,
2947422,LW2,2018-04-05 00:00:00,7.1,12.4,39.9,,,
2947423,GN0,2018-04-05 00:00:00,5.5,9.6,54.8,,,
2947424,KF1,2018-04-05 00:00:00,2.4,7.5,,,,
2947425,CD9,2018-04-05 00:00:00,8.6,10.8,41.3,,,
2947426,CT3,2018-04-05 00:00:00,9.0,17.8,32.1,,,
2947427,CT2,2018-04-05 00:00:00,9.0,,,,,
2947428,BX9,2018-04-05 00:00:00,5.6,,,,,
2947429,BX1,2018-04-05 00:00:00,,5.9,24.8,,,
2947430,TH4,2018-04-05 00:00:00,6.5,22.4,62.8,,,
2947431,ST5,2018-04-05 00:00:00,3.0,11.0,17.8,,,
2947432,RB7,2018-04-05 00:00:00,10.0,6.2,29.8,,,
2947433,TD5,2018-04-05 00:00:00,1.7,,,,,
2947471,CD1,2018-04-05 01:00:00,7.4,8.1,44.8,,,
2947472,BL0,2018-04-05 01:00:00,0.0,6.9,47.6,,,
2947473,GR4,2018-04-05 01:00:00,-0.9,5.9,14.8,,,
2947474,MY7,2018-04-05 01:00:00,3.0,11.3,,,,
2947475,HV1,2018-04-05 01:00:00,-1.1,4.4,16.1,,,
2947476,GN3,2018-04-05 01:00:00,3.9,9.1,38.9,,,
2947477,GR9,2018-04-05 01:00:00,1.7,5.7,20.6,,,
2947478,LW2,2018-04-05 01:00:00,11.3,12.0,51.1,,,
2947479,GN0,2018-04-05 01:00:00,7.0,7.6,54.6,,,
2947480,KF1,2018-04-05 01:00:00,2.3,5.7,,,,
2947481,CD9,2018-04-05 01:00:00,5.8,9.2,53.2,,,
2947482,CT3,2018-04-05 01:00:00,22.0,13.8,25.3,,,
2947483,CT2,2018-04-05 01:00:00,6.0,,,,,
2947484,BX9,2018-04-05 01:00:00,4.9,,,,,
2947485,BX1,2018-04-05 01:00:00,,5.9,13.7,,,
2947486,TH4,2018-04-05 01:00:00,6.9,27.6,58.2,,,
2947487,ST5,2018-04-05 01:00:00,3.0,31.0,20.6,,,
2947488,RB7,2018-04-05 01:00:00,7.0,4.8,21.2,,,
2947489,TD5,2018-04-05 01:00:00,5.8,,,,,
2947491,CD1,2018-04-05 02:00:00,6.6,12.1,39.7,,,
2947492,BL0,2018-04-05 02:00:00,0.2,7.1,35.0,,,
2947493,GR4,2018-04-05 02:00:00,0.0,6.4,14.9,,,
2947494,MY7,2018-04-05 02:00:00,1.5,12.8,,,,
2947495,HV1,2018-04-05 02:00:00,0.8,6.4,17.9,,,
2947496,GN3,2018-04-05 02:00:00,3.7,7.7,29.0,,,
2947497,GR9,2018-04-05 02:00:00,0.4,5.3,22.6,,,
2947498,LW2,2018-04-05 02:00:00,10.8,22.2,49.7,,,
2947499,GN0,2018-04-05 02:00:00,7.2,8.7,39.3,,,
2947500,KF1,2018-04-05 02:00:00,3.0,12.1,,,,
2947501,CD9,2018-04-05 02:00:00,7.5,13.2,58.3,,,
2947502,CT3,2018-04-05 02:00:00,22.0,29.6,23.4,,,
2947503,CT2,2018-04-05 02:00:00,7.0,,,,,
2947504,BX9,2018-04-05 02:00:00,3.8,,,,,
2947505,BX1,2018-04-05 02:00:00,,5.2,11.9,,,
2947506,TH4,2018-04-05 02:00:00,1.4,28.1,57.6,,,
2947507,ST5,2018-04-05 02:00:00,2.0,19.0,16.2,,,
2947508,RB7,2018-04-05 02:00:00,27.0,3.6,18.5,,,
2947509,TD5,2018-04-05 02:00:00,3.2,,,,,
2947547,CD1,2018-04-05 03:00:00,5.5,10.1,37.9,,,
2947548,BL0,2018-04-05 03:00:00,1.8,8.5,29.1,,,
2947549,GR4,2018-04-05 03:00:00,1.4,6.3,20.6,,,
2947550,MY7,2018-04-05 03:00:00,10.1,14.8,,,,
2947551,HV1,2018-04-05 03:00:00,3.0,7.2,24.2,,,
2947552,GN3,2018-04-05 03:00:00,3.7,7.5,30.0,,,
2947553,GR9,2018-04-05 03:00:00,1.1,6.6,30.3,,,
2947554,LW2,2018-04-05 03:00:00,14.4,17.3,45.5,,,
2947555,GN0,2018-04-05 03:00:00,4.5,8.2,33.7,,,
2947556,KF1,2018-04-05 03:00:00,2.3,7.2,,,,
2947557,CD9,2018-04-05 03:00:00,13.7,19.9,86.5,,,
2947558,CT3,2018-04-05 03:00:00,26.0,20.6,35.0,,,
2947559,CT2,2018-04-05 03:00:00,8.0,,,,,
2947560,BX9,2018-04-05 03:00:00,7.1,,,,,
2947561,BX1,2018-04-05 03:00:00,,3.7,22.0,,,
2947562,TH4,2018-04-05 03:00:00,7.4,21.4,51.6,,,
2947563,ST5,2018-04-05 03:00:00,4.0,13.0,16.8,,,
2947564,RB7,2018-04-05 03:00:00,7.0,5.8,24.5,,,
2947565,TD5,2018-04-05 03:00:00,0.0,,,,,
2947603,CD1,2018-04-05 04:00:00,7.6,9.4,50.6,,,
2947604,BL0,2018-04-05 04:00:00,0.2,6.2,29.5,,,
2947605,GR4,2018-04-05 04:00:00,1.0,5.9,15.9,,,
2947606,MY7,2018-04-05 04:00:00,10.8,21.3,,,,
2947607,HV1,2018-04-05 04:00:00,6.6,17.6,34.6,,,
2947608,GN3,2018-04-05 04:00:00,5.7,8.6,27.9,,,
2947609,GR9,2018-04-05 04:00:00,1.9,10.2,27.9,,,
2947610,LW2,2018-04-05 04:00:00,23.2,16.0,47.4,,,
2947611,GN0,2018-04-05 04:00:00,17.6,13.9,68.2,,,
2947612,KF1,2018-04-05 04:00:00,2.2,6.5,,,,
2947613,CD9,2018-04-05 04:00:00,5.6,11.2,75.9,,,
2947614,CT3,2018-04-05 04:00:00,16.0,16.0,28.1,,,
2947615,CT2,2018-04-05 04:00:00,10.0,,,,,
2947616,BX9,2018-04-05 04:00:00,3.7,,,,,
2947617,BX1,2018-04-05 04:00:00,,5.1,15.1,,,
2947618,TH4,2018-04-05 04:00:00,6.8,20.0,65.0,,,
2947619,ST5,2018-04-05 04:00:00,2.0,21.0,22.4,,,
2947620,RB7,2018-04-05 04:00:00,6.0,7.6,20.4,,,
2947621,TD5,2018-04-05 04:00:00,1.2,,,,,
2947659,CD1,2018-04-05 05:00:00,4.2,14.9,49.4,,,
2947660,BL0,2018-04-05 05:00:00,3.3,12.7,24.1,,,
2947661,GR4,2018-04-05 05:00:00,2.3,5.7,11.4,,,
2947662,MY7,2018-04-05 05:00:00,10.5,25.9,,,,
2947663,HV1,2018-04-05 05:00:00,6.1,13.0,39.5,,,
2947664,GN3,2018-04-05 05:00:00,6.1,10.8,33.6,,,
2947665,GR9,2018-04-05 05:00:00,7.1,12.5,39.0,,,
2947666,LW2,2018-04-05 05:00:00,9.5,3.4,46.0,,,
2947667,GN0,2018-04-05 05:00:00,8.6,9.1,43.5,,,
2947668,KF1,2018-04-05 05:00:00,2.6,7.5,,,,
2947669,CD9,2018-04-05 05:00:00,13.0,19.4,127.2,,,
2947670,CT3,2018-04-05 05:00:00,17.0,15.8,22.1,,,
2947671,CT2,2018-04-05 05:00:00,11.0,,,,,
2947672,BX9,2018-04-05 05:00:00,3.8,,,,,
2947673,BX1,2018-04-05 05:00:00,,,14.6,,,
2947674,TH4,2018-04-05 05:00:00,8.1,23.4,66.6,,,
2947675,ST5,2018-04-05 05:00:00,1.0,6.0,16.5,,,
2947676,RB7,2018-04-05 05:00:00,8.0,6.0,30.5,,,
2947677,TD5,2018-04-05 05:00:00,3.6,,,,,
2947715,CD1,2018-04-05 06:00:00,7.7,19.4,55.7,,,
2947716,BL0,2018-04-05 06:00:00,4.3,8.7,23.7,,,
2947717,GR4,2018-04-05 06:00:00,3.6,7.2,11.0,,,
2947718,MY7,2018-04-05 06:00:00,13.9,25.1,,,,
2947719,HV1,2018-04-05 06:00:00,4.1,12.1,41.8,,,
2947720,GN3,2018-04-05 06:00:00,4.9,8.9,32.1,,,
2947721,GR9,2018-04-05 06:00:00,7.1,12.4,33.2,,,
2947722,LW2,2018-04-05 06:00:00,8.5,9.0,31.0,,,
2947723,GN0,2018-04-05 06:00:00,8.0,11.0,17.0,,,
2947724,KF1,2018-04-05 06:00:00,2.5,7.7,,,,
2947725,CD9,2018-04-05 06:00:00,14.1,23.0,118.4,,,
2947726,CT3,2018-04-05 06:00:00,7.0,13.0,19.2,,,
2947727,CT2,2018-04-05 06:00:00,11.0,,,,,
2947728,BX9,2018-04-05 06:00:00,5.9,,,,,
2947729,BX1,2018-04-05 06:00:00,,,13.2,,,
2947730,TH4,2018-04-05 06:00:00,6.5,18.6,58.1,,,
2947731,ST5,2018-04-05 06:00:00,2.0,10.0,16.9,,,
2947732,RB7,2018-04-05 06:00:00,10.0,5.0,24.8,,,
2947733,TD5,2018-04-05 06:00:00,1.4,,,,,
2947735,CD1,2018-04-05 07:00:00,6.8,10.4,54.2,,,
2947736,BL0,2018-04-05 07:00:00,0.9,6.5,24.5,,,
2947737,GR4,2018-04-05 07:00:00,4.7,6.3,12.1,,,
2947738,MY7,2018-04-05 07:00:00,9.8,26.9,,,,
2947739,HV1,2018-04-05 07:00:00,0.1,9.0,42.6,,,
2947740,GN3,2018-04-05 07:00:00,,9.4,31.0,,,
2947741,GR9,2018-04-05 07:00:00,6.6,9.5,42.9,,,
2947742,LW2,2018-04-05 07:00:00,7.2,9.5,22.6,,,
2947743,GN0,2018-04-05 07:00:00,-0.1,5.9,15.2,,,
2947744,KF1,2018-04-05 07:00:00,2.5,5.9,,,,
2947745,CD9,2018-04-05 07:00:00,9.1,18.4,128.0,,,
2947746,CT3,2018-04-05 07:00:00,3.0,9.4,18.5,,,
2947747,CT2,2018-04-05 07:00:00,8.0,,,,,
2947748,BX9,2018-04-05 07:00:00,5.0,,,,,
2947749,BX1,2018-04-05 07:00:00,,4.5,12.2,,,
2947750,TH4,2018-04-05 07:00:00,8.7,25.9,71.6,,,
2947751,ST5,2018-04-05 07:00:00,2.0,11.0,24.4,,,
2947752,RB7,2018-04-05 07:00:00,11.0,5.6,20.4,,,
2947753,TD5,2018-04-05 07:00:00,5.3,,,,,
2947791,CD1,2018-04-05 08:00:00,8.5,11.8,56.6,,,
2947792,BL0,2018-04-05 08:00:00,6.5,11.6,26.0,,,
2947793,GR4,2018-04-05 08:00:00,5.2,3.8,11.6,,,
2947794,MY7,2018-04-05 08:00:00,15.1,28.6,,,,
2947795,HV1,2018-04-05 08:00:00,4.3,11.7,39.3,,,
2947796,GN3,2018-04-05 08:00:00,6.3,9.9,40.0,,,
2947797,GR9,2018-04-05 08:00:00,,13.1,49.0,,,
2947798,LW2,2018-04-05 08:00:00,7.8,11.7,23.1,,,
2947799,GN0,2018-04-05 08:00:00,0.8,6.6,15.6,,,
2947800,KF1,2018-04-05 08:00:00,3.0,5.5,,,,
2947801,CD9,2018-04-05 08:00:00,20.2,30.4,133.6,,,
2947802,CT3,2018-04-05 08:00:00,-5.0,14.8,16.0,,,
2947803,CT2,2018-04-05 08:00:00,11.0,,,,,
2947804,BX9,2018-04-05 08:00:00,7.1,,,,,
2947805,BX1,2018-04-05 08:00:00,,2.4,13.2,,,
2947806,TH4,2018-04-05 08:00:00,6.7,21.1,83.6,,,
2947807,ST5,2018-04-05 08:00:00,4.0,13.0,21.4,,,
2947808,RB7,2018-04-05 08:00:00,8.0,5.4,18.3,,,
2947809,TD5,2018-04-05 08:00:00,8.0,,,,,
2947847,CD1,2018-04-05 09:00:00,9.2,14.5,59.0,,,
2947848,BL0,2018-04-05 09:00:00,10.2,10.9,27.5,,,
2947849,GR4,2018-04-05 09:00:00,5.9,8.6,12.6,,,
2947850,MY7,2018-04-05 09:00:00,13.9,25.5,,,,
2947851,HV1,2018-04-05 09:00:00,7.8,13.7,39.0,,,
2947852,GN3,2018-04-05 09:00:00,,11.9,34.2,,,
2947853,GR9,2018-04-05 09:00:00,8.2,14.5,45.9,,,
2947854,LW2,2018-04-05 09:00:00,17.1,15.5,25.4,,,
2947855,GN0,2018-04-05 09:00:00,5.3,8.5,20.7,,,
2947856,KF1,2018-04-05 09:00:00,3.7,6.7,,,,
2947857,CD9,2018-04-05 09:00:00,13.3,24.6,130.6,,,
2947858,CT3,2018-04-05 09:00:00,-9.0,15.0,20.2,,,
2947859,CT2,2018-04-05 09:00:00,9.0,,,,,
2947860,BX9,2018-04-05 09:00:00,7.4,,,,,
2947861,BX1,2018-04-05 09:00:00,,2.1,15.6,,,
2947862,TH4,2018-04-05 09:00:00,9.3,19.9,76.0,,,
2947863,ST5,2018-04-05 09:00:00,6.0,12.0,28.4,,,
2947864,RB7,2018-04-05 09:00:00,8.0,9.4,24.5,,,
2947865,TD5,2018-04-05 09:00:00,5.0,,,,,
2947903,CD1,2018-04-05 10:00:00,11.4,12.2,64.6,,,
2947904,BL0,2018-04-05 10:00:00,6.2,10.2,31.2,,,
2947905,GR4,2018-04-05 10:00:00,5.8,8.9,11.0,,,
2947906,MY7,2018-04-05 10:00:00,13.4,28.6,,,,
2947907,HV1,2018-04-05 10:00:00,6.5,11.6,37.5,,,
2947908,GN3,2018-04-05 10:00:00,6.5,11.4,29.5,,,
2947909,GR9,2018-04-05 10:00:00,7.4,15.3,31.8,,,
2947910,LW2,2018-04-05 10:00:00,12.0,21.7,27.3,,,
2947911,GN0,2018-04-05 10:00:00,7.0,6.5,22.2,,,
2947912,KF1,2018-04-05 10:00:00,3.3,6.0,,,,
2947913,CD9,2018-04-05 10:00:00,10.8,18.1,119.9,,,
2947914,CT3,2018-04-05 10:00:00,-3.0,6.0,16.3,,,
2947915,CT2,2018-04-05 10:00:00,9.0,,,,,
2947916,BX9,2018-04-05 10:00:00,9.4,,,,,
2947917,BX1,2018-04-05 10:00:00,,4.4,14.6,,,
2947918,TH4,2018-04-05 10:00:00,8.3,16.1,58.8,,,
2947919,ST5,2018-04-05 10:00:00,10.0,12.0,18.2,,,
2947920,RB7,2018-04-05 10:00:00,10.0,10.4,28.6,,,
2947921,TD5,2018-04-05 10:00:00,4.8,,,,,
2947959,CD1,2018-04-05 11:00:00,10.8,12.3,55.5,,,
2947960,BL0,2018-04-05 11:00:00,7.2,10.7,30.8,,,
2947961,GR4,2018-04-05 11:00:00,2.7,8.8,15.1,,,
2947962,MY7,2018-04-05 11:00:00,12.3,22.1,,,,
2947963,HV1,2018-04-05 11:00:00,12.9,16.4,37.3,,,
2947964,GN3,2018-04-05 11:00:00,7.0,9.4,30.6,,,
2947965,GR9,2018-04-05 11:00:00,6.8,14.1,32.8,,,
2947966,LW2,2018-04-05 11:00:00,10.8,17.8,31.1,,,
2947967,GN0,2018-04-05 11:00:00,8.5,6.2,22.3,,,
2947968,KF1,2018-04-05 11:00:00,4.3,6.8,,,,
2947969,CD9,2018-04-05 11:00:00,13.1,18.7,103.6,,,
2947970,CT3,2018-04-05 11:00:00,0.0,11.0,16.6,,,
2947971,CT2,2018-04-05 11:00:00,12.0,,,,,
2947972,BX9,2018-04-05 11:00:00,9.0,,,,,
2947973,BX1,2018-04-05 11:00:00,,3.8,21.3,,,
2947974,TH4,2018-04-05 11:00:00,6.9,16.3,57.5,,,
2947975,ST5,2018-04-05 11:00:00,7.0,12.0,20.7,,,
2947976,RB7,2018-04-05 11:00:00,12.0,10.6,27.1,,,
2947977,TD5,2018-04-05 11:00:00,3.9,,,,,
2948015,CD1,2018-04-05 12:00:00,8.5,14.9,61.8,,,
2948016,BL0,2018-04-05 12:00:00,4.8,10.3,30.2,,,
2948017,GR4,2018-04-05 12:00:00,5.7,10.6,15.9,,,
2948018,MY7,2018-04-05 12:00:00,11.4,20.0,,,,
2948019,HV1,2018-04-05 12:00:00,4.4,8.5,40.1,,,
2948020,GN3,2018-04-05 12:00:00,6.9,11.5,39.5,,,
2948021,GR9,2018-04-05 12:00:00,4.8,9.6,33.7,,,
2948022,LW2,2018-04-05 12:00:00,9.7,16.1,32.5,,,
2948023,GN0,2018-04-05 12:00:00,7.6,6.9,20.9,,,
2948024,KF1,2018-04-05 12:00:00,4.5,6.7,,,,
2948025,CD9,2018-04-05 12:00:00,14.5,19.1,99.6,,,
2948026,CT3,2018-04-05 12:00:00,-2.0,10.0,16.5,,,
2948027,CT2,2018-04-05 12:00:00,10.0,,,,,
2948028,BX9,2018-04-05 12:00:00,12.2,,,,,
2948029,BX1,2018-04-05 12:00:00,,13.2,25.3,,,
2948030,TH4,2018-04-05 12:00:00,9.0,18.1,55.6,,,
2948031,ST5,2018-04-05 12:00:00,6.0,8.0,21.1,,,
2948032,RB7,2018-04-05 12:00:00,13.0,11.0,25.2,,,
2948033,TD5,2018-04-05 12:00:00,3.8,,,,,
2948071,CD1,2018-04-05 13:00:00,6.9,11.2,54.1,,,
2948072,BL0,2018-04-05 13:00:00,5.7,9.8,36.3,,,
2948073,GR4,2018-04-05 13:00:00,15.3,6.6,15.5,,,
2948074,MY7,2018-04-05 13:00:00,11.1,14.3,,,,
2948075,HV1,2018-04-05 13:00:00,10.3,16.6,44.8,,,
2948076,GN3,2018-04-05 13:00:00,6.4,10.2,38.5,,,
2948077,GR9,2018-04-05 13:00:00,5.7,11.2,30.6,,,
2948078,LW2,2018-04-05 13:00:00,7.2,13.3,25.0,,,
2948079,GN0,2018-04-05 13:00:00,6.0,7.2,20.0,,,
2948080,KF1,2018-04-05 13:00:00,4.0,5.9,,,,
2948081,CD9,2018-04-05 13:00:00,6.7,10.8,108.7,,,
2948082,CT3,2018-04-05 13:00:00,1.0,6.4,17.7,,,
2948083,CT2,2018-04-05 13:00:00,8.0,,,,,
2948084,BX9,2018-04-05 13:00:00,8.0,,,,,
2948085,BX1,2018-04-05 13:00:00,,2.3,31.6,,,
2948086,TH4,2018-04-05 13:00:00,6.7,18.6,53.5,,,
2948087,ST5,2018-04-05 13:00:00,5.0,6.0,19.6,,,
2948088,RB7,2018-04-05 13:00:00,9.0,11.4,28.5,,,
2948089,TD5,2018-04-05 13:00:00,6.8,,,,,
2948127,CD1,2018-04-05 14:00:00,8.8,11.7,50.0,,,
2948128,BL0,2018-04-05 14:00:00,3.5,8.2,30.8,,,
2948129,GR4,2018-04-05 14:00:00,12.6,6.8,10.2,,,
2948130,MY7,2018-04-05 14:00:00,10.8,25.7,,,,
2948131,HV1,2018-04-05 14:00:00,6.6,11.3,36.6,,,
2948132,GN3,2018-04-05 14:00:00,6.9,10.1,26.4,,,
2948133,GR9,2018-04-05 14:00:00,6.9,11.4,23.9,,,
2948134,LW2,2018-04-05 14:00:00,6.9,11.7,23.6,,,
2948135,GN0,2018-04-05 14:00:00,8.2,7.0,16.6,,,
2948136,KF1,2018-04-05 14:00:00,4.9,6.5,,,,
2948137,CD9,2018-04-05 14:00:00,10.0,14.4,81.4,,,
2948138,CT3,2018-04-05 14:00:00,2.0,10.4,15.0,,,
2948139,CT2,2018-04-05 14:00:00,8.0,,,,,
2948140,BX9,2018-04-05 14:00:00,9.1,,,,,
2948141,BX1,2018-04-05 14:00:00,,1.4,19.6,,,
2948142,TH4,2018-04-05 14:00:00,8.6,13.3,44.8,,,
2948143,ST5,2018-04-05 14:00:00,4.0,7.0,19.2,,,
2948144,RB7,2018-04-05 14:00:00,12.0,12.0,30.6,,,
2948145,TD5,2018-04-05 14:00:00,5.5,,,,,
2948183,CD1,2018-04-05 15:00:00,7.9,10.7,41.5,,,
2948184,BL0,2018-04-05 15:00:00,6.1,6.4,33.1,,,
2948185,GR4,2018-04-05 15:00:00,12.4,3.7,8.2,,,
2948186,MY7,2018-04-05 15:00:00,8.2,13.9,,,,
2948187,HV1,2018-04-05 15:00:00,7.0,11.0,52.3,,,
2948188,GN3,2018-04-05 15:00:00,8.6,8.6,27.5,,,
2948189,GR9,2018-04-05 15:00:00,5.2,8.7,21.9,,,
2948190,LW2,2018-04-05 15:00:00,5.7,10.2,25.0,,,
2948191,GN0,2018-04-05 15:00:00,9.5,5.9,16.8,,,
2948192,KF1,2018-04-05 15:00:00,5.4,7.4,,,,
2948193,CD9,2018-04-05 15:00:00,4.9,9.1,76.5,,,
2948194,CT3,2018-04-05 15:00:00,6.0,8.8,17.2,,,
2948195,CT2,2018-04-05 15:00:00,9.0,,,,,
2948196,BX9,2018-04-05 15:00:00,7.5,,,,,
2948197,BX1,2018-04-05 15:00:00,,0.1,20.1,,,
2948198,TH4,2018-04-05 15:00:00,4.6,16.3,34.7,,,
2948199,ST5,2018-04-05 15:00:00,5.0,11.0,13.2,,,
2948200,RB7,2018-04-05 15:00:00,8.0,10.6,30.1,,,
2948201,TD5,2018-04-05 15:00:00,6.1,,,,,
2948203,CD1,2018-04-05 16:00:00,6.3,7.6,28.4,,,
2948204,BL0,2018-04-05 16:00:00,3.4,7.2,28.5,,,
2948205,GR4,2018-04-05 16:00:00,1.6,8.0,6.4,,,
2948206,MY7,2018-04-05 16:00:00,7.4,11.1,,,,
2948207,HV1,2018-04-05 16:00:00,3.4,5.8,25.3,,,
2948208,GN3,2018-04-05 16:00:00,5.4,9.0,20.4,,,
2948209,GR9,2018-04-05 16:00:00,3.6,12.4,15.2,,,
2948210,LW2,2018-04-05 16:00:00,6.9,6.3,20.7,,,
2948211,GN0,2018-04-05 16:00:00,8.8,5.5,12.5,,,
2948212,KF1,2018-04-05 16:00:00,5.1,6.9,,,,
2948213,CD9,2018-04-05 16:00:00,6.8,9.5,52.0,,,
2948214,CT3,2018-04-05 16:00:00,,,,,,
2948215,CT2,2018-04-05 16:00:00,11.0,,,,,
2948216,BX9,2018-04-05 16:00:00,7.0,,,,,
2948217,BX1,2018-04-05 16:00:00,,1.5,20.1,,,
2948218,TH4,2018-04-05 16:00:00,7.1,11.6,20.2,,,
2948219,ST5,2018-04-05 16:00:00,5.0,13.0,12.0,,,
2948220,RB7,2018-04-05 16:00:00,15.0,13.0,26.9,,,
2948221,TD5,2018-04-05 16:00:00,6.9,,,,,
2948294,CD1,2018-04-05 17:00:00,8.4,9.3,19.9,,,
2948295,BL0,2018-04-05 17:00:00,5.5,7.9,20.5,,,
2948296,GR4,2018-04-05 17:00:00,0.7,13.1,8.5,,,
2948297,MY7,2018-04-05 17:00:00,9.5,11.0,,,,
2948298,HV1,2018-04-05 17:00:00,14.7,17.5,25.9,,,
2948299,GN3,2018-04-05 17:00:00,5.7,10.3,12.7,,,
2948300,GR9,2018-04-05 17:00:00,5.2,9.6,15.6,,,
2948301,LW2,2018-04-05 17:00:00,9.5,11.1,25.1,,,
2948302,GN0,2018-04-05 17:00:00,8.4,8.7,12.3,,,
2948303,KF1,2018-04-05 17:00:00,5.6,7.9,,,,
2948304,CD9,2018-04-05 17:00:00,6.7,8.6,44.8,,,
2948305,CT3,2018-04-05 17:00:00,,,,,,
2948306,CT2,2018-04-05 17:00:00,9.0,,,,,
2948307,BX9,2018-04-05 17:00:00,8.4,,,,,
2948308,BX1,2018-04-05 17:00:00,,1.9,18.5,,,
2948309,TH4,2018-04-05 17:00:00,4.4,11.7,16.3,,,
2948310,ST5,2018-04-05 17:00:00,5.0,11.0,9.3,,,
2948311,RB7,2018-04-05 17:00:00,12.0,16.4,26.8,,,
2948312,TD5,2018-04-05 17:00:00,7.4,,,,,
2948350,CD1,2018-04-05 18:00:00,9.9,12.5,18.2,,,
2948351,BL0,2018-04-05 18:00:00,6.7,11.3,17.2,,,
2948352,GR4,2018-04-05 18:00:00,12.3,7.1,7.1,,,
2948353,MY7,2018-04-05 18:00:00,9.4,13.3,,,,
2948354,HV1,2018-04-05 18:00:00,9.8,13.0,25.4,,,
2948355,GN3,2018-04-05 18:00:00,6.6,11.6,14.3,,,
2948356,GR9,2018-04-05 18:00:00,5.8,12.5,12.4,,,
2948357,LW2,2018-04-05 18:00:00,8.8,9.3,20.7,,,
2948358,GN0,2018-04-05 18:00:00,7.6,8.3,11.3,,,
2948359,KF1,2018-04-05 18:00:00,6.7,9.6,,,,
2948360,CD9,2018-04-05 18:00:00,9.3,12.1,44.1,,,
2948361,CT3,2018-04-05 18:00:00,,,,,,
2948362,CT2,2018-04-05 18:00:00,11.0,,,,,
2948363,BX9,2018-04-05 18:00:00,9.3,,,,,
2948364,BX1,2018-04-05 18:00:00,,2.9,16.6,,,
2948365,TH4,2018-04-05 18:00:00,6.5,16.4,18.6,,,
2948366,ST5,2018-04-05 18:00:00,10.0,14.0,10.5,,,
2948367,RB7,2018-04-05 18:00:00,14.0,9.2,19.8,,,
2948368,TD5,2018-04-05 18:00:00,6.3,,,,,
2948370,CD1,2018-04-05 19:00:00,6.7,11.8,18.3,,,
2948371,BL0,2018-04-05 19:00:00,5.4,12.2,17.6,,,
